sample,Hash,nReads
NA_NA_NA_NA_A_r3,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,148025
CI_Al_3_May_B_r3,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,24
PG_Al_1_Aug_A_r3,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,33
NA_NA_NA_NA_C_r3,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,117906
CI_Al_15_Aug_A_r3,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,43
CI_Al_10_May_C_r3,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,21
PG_Al_1_Aug_C_r3,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,58
PG_Al_3_Aug_C_r3,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,28
NA_NA_NA_NA_B_r3,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,61470
CI_Al_1_May_C_r3,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,37
CI_Al_3_Aug_C_r3,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,78
PG_Al_15_Aug_A_r3,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,33
CI_Al_15_May_B_r3,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,12
CI_Al_10_Aug_A_r3,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,17
PG_Al_10_Aug_A_r3,e99d1668c1d0134c149b205d148ef407abb3e995,6055
PG_Al_6_Aug_A_r3,e99d1668c1d0134c149b205d148ef407abb3e995,45881
CI_Al_3_May_B_r3,e99d1668c1d0134c149b205d148ef407abb3e995,6243
CI_Al_1_May_B_r3,e99d1668c1d0134c149b205d148ef407abb3e995,20346
PG_Al_1_Aug_A_r3,e99d1668c1d0134c149b205d148ef407abb3e995,8071
CI_Al_6_Aug_C_r3,e99d1668c1d0134c149b205d148ef407abb3e995,26
PG_Al_6_Aug_B_r3,e99d1668c1d0134c149b205d148ef407abb3e995,4279
PG_Al_10_Aug_C_r3,e99d1668c1d0134c149b205d148ef407abb3e995,4511
CI_Al_3_May_A_r3,e99d1668c1d0134c149b205d148ef407abb3e995,11495
CI_Al_10_May_B_r3,e99d1668c1d0134c149b205d148ef407abb3e995,5015
CI_Al_10_May_C_r3,e99d1668c1d0134c149b205d148ef407abb3e995,11607
PG_Al_1_Aug_B_r3,e99d1668c1d0134c149b205d148ef407abb3e995,18589
PG_Al_15_Aug_C_r3,e99d1668c1d0134c149b205d148ef407abb3e995,3800
PG_Al_1_Aug_C_r3,e99d1668c1d0134c149b205d148ef407abb3e995,5085
PG_Al_3_Aug_B_r3,e99d1668c1d0134c149b205d148ef407abb3e995,13309
PG_Al_3_Aug_C_r3,e99d1668c1d0134c149b205d148ef407abb3e995,4962
PG_Al_1_May_C_r3,e99d1668c1d0134c149b205d148ef407abb3e995,6387
PG_Al_6_May_B_r3,e99d1668c1d0134c149b205d148ef407abb3e995,1763
PG_Al_15_May_A_r3,e99d1668c1d0134c149b205d148ef407abb3e995,2350
CI_Al_6_May_A_r3,e99d1668c1d0134c149b205d148ef407abb3e995,27077
PG_Al_6_May_A_r3,e99d1668c1d0134c149b205d148ef407abb3e995,1498
NA_NA_NA_NA_B_r3,e99d1668c1d0134c149b205d148ef407abb3e995,5673
CI_Al_1_May_C_r3,e99d1668c1d0134c149b205d148ef407abb3e995,12444
PG_Al_10_Aug_B_r3,e99d1668c1d0134c149b205d148ef407abb3e995,10897
PG_Al_15_Aug_B_r3,e99d1668c1d0134c149b205d148ef407abb3e995,5292
